,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
0,0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,TV Show
1,1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,TV Show
2,2,Money Heist,2017,18+,8.4,91%,1,0,0,0,TV Show
3,3,Sherlock,2010,16+,9.1,78%,1,0,0,0,TV Show
4,4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,TV Show
5,5,The Office,2005,16+,8.9,81%,1,0,0,0,TV Show
6,6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,TV Show
7,7,Supernatural,2005,16+,8.4,93%,1,0,0,0,TV Show
8,8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,TV Show
9,9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,TV Show
10,10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,TV Show
11,11,Dark,2017,16+,8.7,94%,1,0,0,0,TV Show
12,12,Ozark,2017,18+,8.4,81%,1,0,0,0,TV Show
13,13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,TV Show
14,14,Narcos,2015,18+,8.8,89%,1,0,0,0,TV Show
15,15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,TV Show
16,16,Community,2009,7+,8.5,88%,1,1,0,0,TV Show
17,17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,TV Show
18,18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,TV Show
19,19,Dexter,2006,18+,8.6,72%,1,0,0,0,TV Show
20,20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,TV Show
21,21,The Witcher,2019,18+,8.3,67%,1,0,0,0,TV Show
22,22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,TV Show
23,23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,TV Show
24,24,Outlander,2014,18+,8.4,91%,1,0,0,0,TV Show
25,25,House of Cards,2013,18+,8.7,78%,1,0,0,0,TV Show
26,26,Shameless,2011,18+,8.6,85%,1,0,0,0,TV Show
27,27,The Good Place,2016,16+,8.2,97%,1,1,0,0,TV Show
28,28,The Haunting,2018,18+,8.7,93%,1,0,0,0,TV Show
29,29,The Blacklist,2013,16+,8.0,91%,1,0,0,0,TV Show
30,30,The Flash,2014,7+,7.7,89%,1,0,0,0,TV Show
31,31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,TV Show
32,32,Mad Men,2007,16+,8.6,94%,1,0,0,0,TV Show
33,33,Lucifer,2016,16+,8.2,87%,1,0,0,0,TV Show
34,34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,TV Show
35,35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,TV Show
36,36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,TV Show
37,37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,TV Show
38,38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,TV Show
39,39,The Crown,2016,18+,8.7,89%,1,0,0,0,TV Show
40,40,The 100,2014,16+,7.7,92%,1,0,0,0,TV Show
41,41,When They See Us,2019,18+,8.9,96%,1,0,0,0,TV Show
42,42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,TV Show
43,43,After Life,2019,18+,8.5,70%,1,0,0,0,TV Show
44,44,Elite,2018,18+,7.6,97%,1,0,0,0,TV Show
45,45,BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,TV Show
46,46,Never Have I Ever,2020,16+,8.0,97%,1,0,0,0,TV Show
47,47,Penny Dreadful,2014,18+,8.2,91%,1,0,0,0,TV Show
48,48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,1,0,0,0,TV Show
49,49,Dead to Me,2019,18+,8.1,91%,1,0,0,0,TV Show
50,50,Unorthodox,2020,18+,8.1,94%,1,0,0,0,TV Show
51,51,Sense8,2015,18+,8.3,86%,1,0,0,0,TV Show
52,52,Sacred Games,2018,18+,8.7,92%,1,0,0,0,TV Show
53,53,American Crime Story,2016,18+,8.4,93%,1,0,0,0,TV Show
54,54,Family Guy,1999,18+,8.1,71%,1,1,0,0,TV Show
55,55,Pretty Little Liars,2010,16+,7.4,81%,1,1,0,0,TV Show
56,56,Unbelievable,2019,18+,8.4,97%,1,0,0,0,TV Show
57,57,Arrow,2012,16+,7.6,85%,1,0,0,0,TV Show
58,58,The IT Crowd,2006,16+,8.5,87%,1,0,0,0,TV Show
59,59,The Twilight Zone,1959,7+,9.0,82%,1,1,0,0,TV Show
60,60,YOU,2018,18+,7.8,91%,1,0,0,0,TV Show
61,61,Sex Education,2019,16+,8.3,94%,1,0,0,0,TV Show
62,62,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,1,0,0,0,TV Show
63,63,Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,TV Show
64,64,Broadchurch,2013,18+,8.4,92%,1,0,0,0,TV Show
65,65,Kingdom,2019,18+,8.4,96%,1,0,0,0,TV Show
66,66,Altered Carbon,2018,18+,8.1,64%,1,0,0,0,TV Show
67,67,The Sinner,2017,16+,8.0,95%,1,0,0,0,TV Show
68,68,"Love, Death & Robots",2019,18+,8.5,78%,1,0,0,0,TV Show
69,69,Marvel's Jessica Jones,2015,18+,8.0,83%,1,0,0,0,TV Show
70,70,New Girl,2011,16+,7.7,94%,1,0,0,0,TV Show
71,71,The Good Wife,2009,16+,8.3,94%,1,1,1,0,TV Show
72,72,The Umbrella Academy,2019,16+,7.9,77%,1,0,0,0,TV Show
73,73,Marvel's The Punisher,2017,18+,8.5,63%,1,0,0,0,TV Show
74,74,Ash vs Evil Dead,2015,18+,8.4,99%,1,0,0,0,TV Show
75,75,Master of None,2015,18+,8.3,100%,1,0,0,0,TV Show
76,76,Bodyguard,2018,18+,8.1,93%,1,0,0,0,TV Show
77,77,Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,TV Show
